Name,Expected Correct (per Win%),Expected Correct (per Point Diff),Expected Bonus Points (per Win%),Expected Bonus Points (per Point Diff),Expected Total Score (Per Win%),Expected Total Score (Per Point Diff),Expected Competition Result (per Win%),Expected Competition Result (per Point Diff)
Johnny curran,20,17,6.5,6.5,26.5,23.5,1,2
Danny Swift,17,12,5,5,22,17,2,10
Luke Serra,17,18,5,5,22,23,3,4
Tucker,17,16,3.5,3.5,20.5,19.5,4,8
Rhett Zillinger,17,12,3,3,20,15,5,13
Ike Chukwu,12,19,8,8,20,27,6,1
Michael Hoff,15,18,5,5,20,23,7,3
Michael Andrew Ricciardulli,18,11,1.5,1.5,19.5,12.5,8,15
Brandon Greene,14,11,5,5,19,16,9,11
Michael Marzec,12,13,6.5,6.5,18.5,19.5,10,7
Brinkles,17,12,1.5,1.5,18.5,13.5,11,14
Mike Halloran,15,16,3,3,18,19,12,9
grass guibert,16,19,1.5,1.5,17.5,20.5,13,6
kyle,13,16,4.5,4.5,17.5,20.5,14,5
Blake Fahey,16,11,0,0,16,11,15,18
Alanna Hulburd,14,11,1.5,1.5,15.5,12.5,16,16
Henry,14,11,0,0,14,11,17,17
Ciaran Cleary,14,9,0,0,14,9,18,19
Danny Davis,10,13,3,3,13,16,19,12
