,TEAM,Over/Under,Wins,Losses,Win%,Point Diff,Expected Wins (per Win%),Expected Wins (per Point Diff),Expected O/U (per Win%),Expected O/U (per Point Diff)
0,ATL,42.5,8,9,47.1%,2.7,38.6,47.4,Under,Over
1,BRK,37.5,9,9,50.0%,1.6,41.0,45.0,Over,Over
2,BOS,55.5,14,4,77.8%,10.2,63.8,64.1,Over,Over
3,CHO,31.5,6,11,35.3%,-7.9,28.9,23.0,Under,Under
4,CHI,37.5,5,14,26.3%,-7.2,21.6,24.0,Under,Under
5,CLE,50.5,10,9,52.6%,-0.4,43.1,40.0,Under,Under
6,DAL,43.5,11,6,64.7%,1.6,53.1,44.9,Over,Over
7,DEN,52.5,13,6,68.4%,3.8,56.1,50.3,Over,Under
8,DET,27.5,2,17,10.5%,-10.7,8.6,17.2,Under,Under
9,GSW,47.5,8,10,44.4%,0.4,36.4,41.9,Under,Under
10,HOU,31.5,8,8,50.0%,5.1,41.0,53.6,Over,Over
11,IND,38.5,9,8,52.9%,1.0,43.4,43.4,Over,Over
12,LAC,46.5,8,9,47.1%,4.3,38.6,51.8,Under,Over
13,LAL,47.5,11,8,57.9%,0.9,47.5,43.4,Push,Under
14,MEM,45.5,4,13,23.5%,-6.8,19.3,24.4,Under,Under
15,MIA,45.5,11,8,57.9%,0.8,47.5,43.0,Over,Under
16,MIL,54.5,13,5,72.2%,2.3,59.2,46.7,Over,Under
17,MIN,44.5,13,4,76.5%,7.8,62.7,59.7,Over,Over
18,NOP,44.5,10,9,52.6%,-0.5,43.1,39.7,Under,Under
19,NYK,44.5,11,7,61.1%,5.4,50.1,54.3,Over,Over
20,OKC,44.5,11,6,64.7%,7.4,53.1,58.5,Over,Over
21,ORL,36.5,13,5,72.2%,6.9,59.2,57.7,Over,Over
22,PHI,49.5,12,6,66.7%,7.6,54.7,58.4,Over,Over
23,PHO,51.5,11,7,61.1%,4.1,50.1,50.8,Under,Under
24,POR,28.5,6,12,33.3%,-7.3,27.3,23.2,Under,Under
25,SAC,44.5,10,7,58.8%,-0.8,48.2,38.9,Over,Under
26,SAS,29.5,3,14,17.6%,-12.2,14.4,15.0,Under,Under
27,TOR,35.5,9,10,47.4%,-1.2,38.9,37.9,Over,Over
28,UTA,35.5,6,12,33.3%,-6.7,27.3,25.1,Under,Under
29,WAS,24.5,3,15,16.7%,-9.9,13.7,19.3,Under,Under
