TEAM,OU Wins,Wins,Losses,Win%,Point Diff,Expected Wins (per Win%),Expected Wins (per Point Diff),Expected O/U (per Win%),Expected O/U (per Point Diff)
ATL,42.5,12,18,40.0%,0.3,32.8,41.8,Under,Under
BRK,37.5,15,16,48.4%,0.2,39.7,41.4,Over,Over
BOS,55.5,23,6,79.3%,10.7,65.0,64.3,Over,Over
CHO,31.5,7,21,25.0%,-9.4,20.5,20.0,Under,Under
CHI,37.5,14,18,43.8%,-2.3,35.9,35.2,Under,Under
CLE,50.5,18,13,58.1%,0.3,47.6,41.8,Under,Under
DAL,43.5,18,13,58.1%,1.3,47.6,44.3,Over,Over
DEN,52.5,22,10,68.8%,4.7,56.4,52.3,Over,Under
DET,27.5,2,28,6.7%,-13.2,5.5,13.5,Under,Under
GSW,47.5,15,15,50.0%,1.7,41.0,45.1,Under,Under
HOU,31.5,15,14,51.7%,3.4,42.4,49.5,Over,Over
IND,38.5,15,14,51.7%,-1.0,42.4,38.8,Over,Over
LAC,46.5,18,12,60.0%,6.0,49.2,55.3,Over,Over
LAL,47.5,16,15,51.6%,0.5,42.3,42.1,Under,Under
MEM,45.5,10,19,34.5%,-5.1,28.3,28.3,Under,Under
MIA,45.5,18,12,60.0%,0.6,49.2,42.4,Over,Under
MIL,54.5,23,8,74.2%,5.1,60.8,53.0,Over,Under
MIN,44.5,22,7,75.9%,7.1,62.2,58.0,Over,Over
NOP,44.5,17,14,54.8%,2.4,44.9,47.1,Over,Over
NYK,44.5,17,13,56.7%,3.0,46.5,48.3,Over,Over
OKC,44.5,20,9,69.0%,8.4,56.6,60.1,Over,Over
ORL,36.5,18,12,60.0%,2.5,49.2,47.4,Over,Over
PHI,49.5,21,9,70.0%,11.0,57.4,64.7,Over,Over
PHO,51.5,15,15,50.0%,0.8,41.0,43.0,Under,Under
POR,28.5,8,21,27.6%,-6.2,22.6,26.1,Under,Under
SAC,44.5,17,12,58.6%,-0.9,48.1,38.8,Over,Under
SAS,29.5,4,25,13.8%,-12.1,11.3,15.1,Under,Under
TOR,35.5,12,18,40.0%,-1.9,32.8,36.2,Under,Over
UTA,35.5,13,18,41.9%,-6.4,34.4,25.9,Under,Under
WAS,24.5,5,25,16.7%,-11.0,13.7,17.5,Under,Under
